% itn    run  time               r                   g
  1      1    0.35618E-02    0.3834261663E+01    0.3518451246E-01
  1      1    0.35618E-02    0.3873790134E+01    0.4875310394E-01
  1      1    0.35618E-02    0.3913318604E+01    0.4825814857E-01
  1      1    0.35618E-02    0.3952847075E+01    0.5459787663E-01
  1      1    0.35618E-02    0.3992375546E+01    0.3378413386E-01
  1      1    0.35618E-02    0.4031904017E+01    0.4014154230E-01
  1      1    0.35618E-02    0.4071432487E+01    0.5962487624E-01
  1      1    0.35618E-02    0.4110960958E+01    0.4592683704E-01
  1      1    0.35618E-02    0.4150489429E+01    0.3898915352E-01
  1      1    0.35618E-02    0.4190017900E+01    0.3861958809E-01
  1      1    0.35618E-02    0.4229546370E+01    0.7013776522E-01
  1      1    0.35618E-02    0.4269074841E+01    0.6316847354E-01
  1      1    0.35618E-02    0.4308603312E+01    0.5632764806E-01
  1      1    0.35618E-02    0.4348131783E+01    0.2480588459E-01
  1      1    0.35618E-02    0.4387660253E+01    0.4301744465E-01
  1      1    0.35618E-02    0.4427188724E+01    0.3045116998E-01
  1      1    0.35618E-02    0.4466717195E+01    0.6036098582E-02
  1      1    0.35618E-02    0.4506245666E+01    0.4786333678E-01
  1      1    0.35618E-02    0.4545774136E+01    0.2372265818E-01
  1      1    0.35618E-02    0.4585302607E+01    0.6467248481E-01
  1      1    0.35618E-02    0.4624831078E+01    0.3497310337E-01
  1      1    0.35618E-02    0.4664359549E+01    0.2889621662E-01
  1      1    0.35618E-02    0.4703888020E+01    0.6303520672E-01
  1      1    0.35618E-02    0.4743416490E+01    0.2273007834E-01
  1      1    0.35618E-02    0.4782944961E+01    0.3944753223E-01
  1      1    0.35618E-02    0.4822473432E+01    0.5030082152E-01
  1      1    0.35618E-02    0.4862001903E+01    0.6097691425E-01
  1      1    0.35618E-02    0.4901530373E+01    0.3848929258E-01
  1      1    0.35618E-02    0.4941058844E+01    0.5454305948E-01
  1      1    0.35618E-02    0.4980587315E+01    0.4328676274E-01
