% run    par  time               x                   y
% run    par  time               x                   y
 69      1    0.24577E+00    0.3807380470E+01    0.3211514724E+01


% run    par  time               x                   y
 70      1    0.24933E+00    0.3686904696E+01    0.3512529231E+01


% run    par  time               x                   y
 71      1    0.25289E+00    0.3905937295E+01    0.3675271943E+01


% run    par  time               x                   y
 72      1    0.25645E+00    0.3924621701E+01    0.3768075150E+01


% run    par  time               x                   y
 73      1    0.26001E+00    0.3899139245E+01    0.4218330895E+01


% run    par  time               x                   y
 74      1    0.26358E+00    0.4025976353E+01    0.4456962305E+01


% run    par  time               x                   y
 75      1    0.26714E+00    0.4132953279E+01    0.4625050457E+01


% run    par  time               x                   y
 76      1    0.27070E+00    0.3883551514E+01    0.4921200297E+01


% run    par  time               x                   y
 77      1    0.27426E+00    0.4059087058E+01    0.4985981194E+01


% run    par  time               x                   y
 78      1    0.27782E+00    0.4220424158E+01    0.5104220878E+01


% run    par  time               x                   y
 79      1    0.28138E+00    0.4039515225E+01    0.5250378808E+01


% run    par  time               x                   y
 80      1    0.28495E+00    0.4188605155E+01    0.5169640442E+01


% run    par  time               x                   y
 81      1    0.28851E+00    0.4046872558E+01    0.5217503547E+01


% run    par  time               x                   y
 82      1    0.29207E+00    0.3946424586E+01    0.4873821565E+01


% run    par  time               x                   y
 83      1    0.29563E+00    0.3779944140E+01    0.4595665633E+01


% run    par  time               x                   y
 84      1    0.29919E+00    0.3441846173E+01    0.4452796675E+01


% run    par  time               x                   y
 85      1    0.30276E+00    0.3072331097E+01    0.4325487291E+01


% run    par  time               x                   y
 86      1    0.30632E+00    0.2918299411E+01    0.4001005356E+01


% run    par  time               x                   y
 87      1    0.30988E+00    0.2565313870E+01    0.3907633574E+01


% run    par  time               x                   y
 88      1    0.31344E+00    0.2324994899E+01    0.4212560231E+01


% run    par  time               x                   y
 89      1    0.31700E+00    0.2082707772E+01    0.4448502103E+01


% run    par  time               x                   y
 90      1    0.32056E+00    0.2335327435E+01    0.4421984231E+01


% run    par  time               x                   y
 91      1    0.32413E+00    0.2548095677E+01    0.4323856064E+01


% run    par  time               x                   y
 92      1    0.32769E+00    0.2605399831E+01    0.4073959303E+01


% run    par  time               x                   y
 93      1    0.33125E+00    0.2814116681E+01    0.4007220204E+01


% run    par  time               x                   y
 94      1    0.33481E+00    0.2681860281E+01    0.3826196949E+01


% run    par  time               x                   y
 95      1    0.33837E+00    0.2497429295E+01    0.3794075970E+01


% run    par  time               x                   y
 96      1    0.34194E+00    0.2539260376E+01    0.3427003571E+01


% run    par  time               x                   y
 97      1    0.34550E+00    0.2387490613E+01    0.3279780089E+01


% run    par  time               x                   y
 98      1    0.34906E+00    0.2694697876E+01    0.3348204343E+01


% run    par  time               x                   y
 99      1    0.35262E+00    0.2657814465E+01    0.3074070095E+01


% run    par  time               x                   y
100      1    0.35618E+00    0.2576584110E+01    0.2695057646E+01


