% run    par  time               x                   y
  1      1    0.35618E-02    0.1386147642E+01   -0.1548304380E-01


% run    par  time               x                   y
  2      1    0.71237E-02    0.1493636154E+01   -0.4157214016E-01


% run    par  time               x                   y
  3      1    0.10685E-01    0.1563721876E+01    0.3657316020E-01


% run    par  time               x                   y
  4      1    0.14247E-01    0.1544326675E+01   -0.7284785940E-01


% run    par  time               x                   y
  5      1    0.17809E-01    0.1454688423E+01   -0.1183457212E-01


% run    par  time               x                   y
  6      1    0.21371E-01    0.1417297730E+01   -0.7820397520E-01


% run    par  time               x                   y
  7      1    0.24933E-01    0.1392402479E+01   -0.2834410403E-01


% run    par  time               x                   y
  8      1    0.28495E-01    0.1333961305E+01   -0.1299039673E+00


% run    par  time               x                   y
  9      1    0.32056E-01    0.1302918464E+01    0.2540979243E-01


% run    par  time               x                   y
 10      1    0.35618E-01    0.1191395410E+01    0.1285848113E+00


% run    par  time               x                   y
 11      1    0.39180E-01    0.1240501173E+01    0.1153620184E+00


% run    par  time               x                   y
 12      1    0.42742E-01    0.1325422698E+01    0.3573964141E-01


% run    par  time               x                   y
 13      1    0.46304E-01    0.1221630448E+01   -0.1342715624E+00


% run    par  time               x                   y
 14      1    0.49866E-01    0.1146280019E+01   -0.8487381225E-01


% run    par  time               x                   y
 15      1    0.53427E-01    0.1104133313E+01   -0.1447756266E+00


% run    par  time               x                   y
 16      1    0.56989E-01    0.9684270961E+00    0.3414731942E-02


% run    par  time               x                   y
 17      1    0.60551E-01    0.8582799267E+00   -0.1111857444E+00


% run    par  time               x                   y
 18      1    0.64113E-01    0.8949737663E+00   -0.7838319389E-01


% run    par  time               x                   y
 19      1    0.67675E-01    0.8076095790E+00   -0.5447337465E-01


% run    par  time               x                   y
 20      1    0.71237E-01    0.7478164010E+00   -0.1088429787E+00


% run    par  time               x                   y
 21      1    0.74798E-01    0.7534906429E+00   -0.9837344780E-01


% run    par  time               x                   y
 22      1    0.78360E-01    0.8154746207E+00   -0.1291074510E+00


% run    par  time               x                   y
 23      1    0.81922E-01    0.7278154713E+00   -0.1719595908E+00


% run    par  time               x                   y
 24      1    0.85484E-01    0.5898373454E+00   -0.9748286932E-01


% run    par  time               x                   y
 25      1    0.89046E-01    0.7080686448E+00   -0.1471880824E+00


% run    par  time               x                   y
 26      1    0.92608E-01    0.8914953054E+00   -0.1579029900E+00


% run    par  time               x                   y
 27      1    0.96169E-01    0.9349922448E+00   -0.2547757231E+00


