% run    par  time              vx                  vy
 64      1    0.22796E+00   -0.2355519847E+04   -0.6995119150E+02


% run    par  time              vx                  vy
 65      1    0.23152E+00   -0.2997990089E+03   -0.1096234322E+04


% run    par  time              vx                  vy
 66      1    0.23508E+00   -0.1605734053E+03    0.1823393136E+03


% run    par  time              vx                  vy
 67      1    0.23864E+00   -0.2352426684E+04   -0.1121175666E+04


% run    par  time              vx                  vy
 68      1    0.24220E+00    0.3407726670E+04    0.3005099067E+03


% run    par  time              vx                  vy
 69      1    0.24577E+00   -0.2399192621E+04   -0.1814545455E+04


% run    par  time              vx                  vy
 70      1    0.24933E+00   -0.1593440814E+04   -0.2722215986E+04


% run    par  time              vx                  vy
 71      1    0.25289E+00   -0.9244762914E+03   -0.8180418322E+03


% run    par  time              vx                  vy
 72      1    0.25645E+00    0.3567544457E+03   -0.1200709002E+04


% run    par  time              vx                  vy
 73      1    0.26001E+00   -0.4319214502E+04    0.8512955034E+02


% run    par  time              vx                  vy
 74      1    0.26358E+00   -0.3057474716E+04    0.9960277841E+03


% run    par  time              vx                  vy
 75      1    0.26714E+00    0.2350059920E+04    0.3466222191E+04


% run    par  time              vx                  vy
 76      1    0.27070E+00    0.1445396819E+04    0.1686262391E+04


% run    par  time              vx                  vy
 77      1    0.27426E+00   -0.1000070647E+04    0.2918995655E+04


% run    par  time              vx                  vy
 78      1    0.27782E+00    0.7975727924E+03    0.8406702951E+03


% run    par  time              vx                  vy
 79      1    0.28138E+00    0.3669242422E+03    0.7754556194E+03


% run    par  time              vx                  vy
 80      1    0.28495E+00    0.4743379487E+04    0.1107690606E+04


% run    par  time              vx                  vy
 81      1    0.28851E+00    0.9270179107E+03    0.2549417225E+04


% run    par  time              vx                  vy
 82      1    0.29207E+00    0.2289944231E+04    0.1773016708E+04


% run    par  time              vx                  vy
 83      1    0.29563E+00   -0.3228091878E+04   -0.2258538319E+04


% run    par  time              vx                  vy
 84      1    0.29919E+00    0.3512531357E+03    0.4127229941E+04


% run    par  time              vx                  vy
 85      1    0.30276E+00    0.8547821087E+03   -0.5052389164E+02


% run    par  time              vx                  vy
 86      1    0.30632E+00    0.1304489697E+04    0.1986463299E+04


% run    par  time              vx                  vy
 87      1    0.30988E+00    0.4233331355E+04   -0.1301589327E+04


% run    par  time              vx                  vy
 88      1    0.31344E+00   -0.1947930683E+04   -0.8306067113E+03


% run    par  time              vx                  vy
 89      1    0.31700E+00   -0.2827660633E+04   -0.1229639678E+04


% run    par  time              vx                  vy
 90      1    0.32056E+00   -0.4673341807E+04    0.2186975809E+04


% run    par  time              vx                  vy
 91      1    0.32413E+00   -0.1646502362E+03   -0.2022661496E+04


% run    par  time              vx                  vy
 92      1    0.32769E+00    0.7615570611E+02   -0.4790096643E+02


% run    par  time              vx                  vy
 93      1    0.33125E+00   -0.6317998194E+03    0.2880248072E+04


% run    par  time              vx                  vy
 94      1    0.33481E+00    0.1111296471E+04   -0.4035887432E+03


% run    par  time              vx                  vy
 95      1    0.33837E+00    0.1183697525E+04   -0.4114989208E+04


% run    par  time              vx                  vy
 96      1    0.34194E+00   -0.2925561070E+04   -0.5205144265E+03


% run    par  time              vx                  vy
 97      1    0.34550E+00   -0.1479205794E+04    0.2586779524E+04


% run    par  time              vx                  vy
 98      1    0.34906E+00    0.9221747099E+03    0.3096205633E+04


% run    par  time              vx                  vy
 99      1    0.35262E+00    0.3215798039E+04    0.2206825016E+04


% run    par  time              vx                  vy
100      1    0.35618E+00   -0.3267787467E+04   -0.1057702554E+04


