% itn    run  time               r                   g
  1      1    0.35618E-02    0.2802063971E-01    0.0000000000E+00
  1      1    0.35618E-02    0.5604127943E-01    0.0000000000E+00
  1      1    0.35618E-02    0.8406191914E-01    0.0000000000E+00
  1      1    0.35618E-02    0.1120825589E+00    0.0000000000E+00
  1      1    0.35618E-02    0.1401031986E+00    0.9009102362E+00
  1      1    0.35618E-02    0.1681238383E+00    0.0000000000E+00
  1      1    0.35618E-02    0.1961444780E+00    0.4158047244E+00
  1      1    0.35618E-02    0.2241651177E+00    0.5405461417E+00
  1      1    0.35618E-02    0.2521857574E+00    0.4769524780E+00
  1      1    0.35618E-02    0.2802063971E+00    0.7112449233E+00
  1      1    0.35618E-02    0.3082270369E+00    0.2574029246E+00
  1      1    0.35618E-02    0.3362476766E+00    0.2350200616E+00
  1      1    0.35618E-02    0.3642683163E+00    0.1081092283E+00
  1      1    0.35618E-02    0.3922889560E+00    0.3003034121E+00
  1      1    0.35618E-02    0.4203095957E+00    0.2795928319E+00
  1      1    0.35618E-02    0.4483302354E+00    0.1743697231E+00
  1      1    0.35618E-02    0.4763508751E+00    0.8190093056E-01
  1      1    0.35618E-02    0.5043715149E+00    0.7722087739E-01
  1      1    0.35618E-02    0.5323921546E+00    0.1460935518E+00
  1      1    0.35618E-02    0.5604127943E+00    0.3465039370E+00
  1      1    0.35618E-02    0.5884334340E+00    0.3955215671E+00
  1      1    0.35618E-02    0.6164540737E+00    0.5656878227E+00
  1      1    0.35618E-02    0.6444747134E+00    0.3003034121E+00
  1      1    0.35618E-02    0.6724953531E+00    0.2300196348E+00
  1      1    0.35618E-02    0.7005159929E+00    0.4964199261E+00
  1      1    0.35618E-02    0.7285366326E+00    0.2119788791E+00
  1      1    0.35618E-02    0.7565572723E+00    0.2549745951E+00
  1      1    0.35618E-02    0.7845779120E+00    0.4914055834E+00
  1      1    0.35618E-02    0.8125985517E+00    0.9483265644E-01
  1      1    0.35618E-02    0.8406191914E+00    0.1832359802E+00
  1      1    0.35618E-02    0.8686398311E+00    0.6202988511E+00
  1      1    0.35618E-02    0.8966604709E+00    0.3861043869E+00
  1      1    0.35618E-02    0.9246811106E+00    0.3742242520E+00
  1      1    0.35618E-02    0.9527017503E+00    0.2016963215E+00
  1      1    0.35618E-02    0.9807223900E+00    0.3525300924E+00
  1      1    0.35618E-02    0.1008743030E+01    0.3425996673E+00
  1      1    0.35618E-02    0.1036763669E+01    0.1480948333E+00
  1      1    0.35618E-02    0.1064784309E+01    0.2522548661E+00
  1      1    0.35618E-02    0.1092804949E+01    0.2808031905E+00
  1      1    0.35618E-02    0.1120825589E+01    0.4447531546E+00
  1      1    0.35618E-02    0.1148846228E+01    0.6006068241E+00
  1      1    0.35618E-02    0.1176866868E+01    0.1953781235E+00
  1      1    0.35618E-02    0.1204887508E+01    0.2543746549E+00
  1      1    0.35618E-02    0.1232908147E+01    0.4970539234E+00
  1      1    0.35618E-02    0.1260928787E+01    0.3340453685E+00
  1      1    0.35618E-02    0.1288949427E+01    0.3564040495E+00
  1      1    0.35618E-02    0.1316970067E+01    0.4068626873E+00
  1      1    0.35618E-02    0.1344990706E+01    0.2275983755E+00
  1      1    0.35618E-02    0.1373011346E+01    0.3343584382E+00
  1      1    0.35618E-02    0.1401031986E+01    0.3549040324E+00
  1      1    0.35618E-02    0.1429052625E+01    0.4549150698E+00
  1      1    0.35618E-02    0.1457073265E+01    0.2624010397E+00
  1      1    0.35618E-02    0.1485093905E+01    0.4375849719E+00
  1      1    0.35618E-02    0.1513114545E+01    0.3788874825E+00
  1      1    0.35618E-02    0.1541135184E+01    0.3471397240E+00
  1      1    0.35618E-02    0.1569155824E+01    0.4626295807E+00
  1      1    0.35618E-02    0.1597176464E+01    0.3109336213E+00
  1      1    0.35618E-02    0.1625197103E+01    0.5875501540E+00
  1      1    0.35618E-02    0.1653217743E+01    0.2310026247E+00
  1      1    0.35618E-02    0.1681238383E+01    0.3861043869E+00
  1      1    0.35618E-02    0.1709259023E+01    0.2233661743E+00
  1      1    0.35618E-02    0.1737279662E+01    0.1977607836E+00
  1      1    0.35618E-02    0.1765300302E+01    0.3027058394E+00
  1      1    0.35618E-02    0.1793320942E+01    0.4043455391E+00
  1      1    0.35618E-02    0.1821341581E+01    0.2933196118E+00
  1      1    0.35618E-02    0.1849362221E+01    0.3919991104E+00
