% run    par  time               x                   y
 67      1    0.23864E+00    0.1280728038E+02   -0.1049483973E+02


% run    par  time               x                   y
 68      1    0.24220E+00    0.1282418871E+02   -0.1051034695E+02


% run    par  time               x                   y
 69      1    0.24577E+00    0.1288357372E+02   -0.1051693694E+02


% run    par  time               x                   y
 70      1    0.24933E+00    0.1289962324E+02   -0.1044931255E+02


% run    par  time               x                   y
 71      1    0.25289E+00    0.1297867481E+02   -0.1053389169E+02


% run    par  time               x                   y
 72      1    0.25645E+00    0.1296939218E+02   -0.1051037859E+02


% run    par  time               x                   y
 73      1    0.26001E+00    0.1289170857E+02   -0.1055339715E+02


% run    par  time               x                   y
 74      1    0.26358E+00    0.1289083949E+02   -0.1034800780E+02


% run    par  time               x                   y
 75      1    0.26714E+00    0.1285759259E+02   -0.1032818069E+02


% run    par  time               x                   y
 76      1    0.27070E+00    0.1273876898E+02   -0.1041341890E+02


% run    par  time               x                   y
 77      1    0.27426E+00    0.1284410622E+02   -0.1047919795E+02


% run    par  time               x                   y
 78      1    0.27782E+00    0.1285276081E+02   -0.1057967086E+02


% run    par  time               x                   y
 79      1    0.28138E+00    0.1299417032E+02   -0.1056954669E+02


% run    par  time               x                   y
 80      1    0.28495E+00    0.1304091449E+02   -0.1051984690E+02


% run    par  time               x                   y
 81      1    0.28851E+00    0.1300538421E+02   -0.1049815083E+02


% run    par  time               x                   y
 82      1    0.29207E+00    0.1303428239E+02   -0.1031701909E+02


% run    par  time               x                   y
 83      1    0.29563E+00    0.1307308414E+02   -0.1031076275E+02


% run    par  time               x                   y
 84      1    0.29919E+00    0.1301190999E+02   -0.1013106584E+02


% run    par  time               x                   y
 85      1    0.30276E+00    0.1301323743E+02   -0.1015812199E+02


% run    par  time               x                   y
 86      1    0.30632E+00    0.1319697517E+02   -0.1012315120E+02


% run    par  time               x                   y
 87      1    0.30988E+00    0.1326314192E+02   -0.1001353918E+02


% run    par  time               x                   y
 88      1    0.31344E+00    0.1335176184E+02   -0.9934690865E+01


% run    par  time               x                   y
 89      1    0.31700E+00    0.1326073731E+02   -0.9852250664E+01


% run    par  time               x                   y
 90      1    0.32056E+00    0.1341931924E+02   -0.9889381567E+01


% run    par  time               x                   y
 91      1    0.32413E+00    0.1345565641E+02   -0.9800948918E+01


% run    par  time               x                   y
 92      1    0.32769E+00    0.1340202706E+02   -0.9752710539E+01


% run    par  time               x                   y
 93      1    0.33125E+00    0.1351392971E+02   -0.9798793628E+01


% run    par  time               x                   y
 94      1    0.33481E+00    0.1350677473E+02   -0.9801608515E+01


% run    par  time               x                   y
 95      1    0.33837E+00    0.1366919169E+02   -0.9870047573E+01


% run    par  time               x                   y
 96      1    0.34194E+00    0.1365967631E+02   -0.9888367088E+01


% run    par  time               x                   y
 97      1    0.34550E+00    0.1362320174E+02   -0.9948234816E+01


% run    par  time               x                   y
 98      1    0.34906E+00    0.1379699008E+02   -0.1007678095E+02


% run    par  time               x                   y
 99      1    0.35262E+00    0.1370732091E+02   -0.1004659823E+02


% run    par  time               x                   y
100      1    0.35618E+00    0.1378947147E+02   -0.9833921625E+01


