% run    par  time              vx                  vy
 64      1    0.22796E+00    0.1468465034E+04    0.1965060167E+03


% run    par  time              vx                  vy
 65      1    0.23152E+00   -0.3055703845E+04    0.2035734275E+04


% run    par  time              vx                  vy
 66      1    0.23508E+00   -0.3109948598E+04   -0.7728292559E+03


% run    par  time              vx                  vy
 67      1    0.23864E+00   -0.1925046787E+04   -0.1366975963E+04


% run    par  time              vx                  vy
 68      1    0.24220E+00   -0.3712662235E+04   -0.5098573862E+03


% run    par  time              vx                  vy
 69      1    0.24577E+00   -0.3488518103E+04    0.2591412771E+04


% run    par  time              vx                  vy
 70      1    0.24933E+00    0.9978673685E+02   -0.2042321723E+04


% run    par  time              vx                  vy
 71      1    0.25289E+00   -0.4958045547E+04   -0.5453748182E+04


% run    par  time              vx                  vy
 72      1    0.25645E+00    0.9294120752E+03    0.1130608894E+04


% run    par  time              vx                  vy
 73      1    0.26001E+00    0.3392520879E+03   -0.7356924473E+03


% run    par  time              vx                  vy
 74      1    0.26358E+00    0.2130653412E+04    0.1987583476E+04


% run    par  time              vx                  vy
 75      1    0.26714E+00    0.1844313298E+03    0.8761478832E+02


% run    par  time              vx                  vy
 76      1    0.27070E+00   -0.1455211891E+04   -0.1001294741E+03


% run    par  time              vx                  vy
 77      1    0.27426E+00    0.6144646813E+02   -0.2091282958E+04


% run    par  time              vx                  vy
 78      1    0.27782E+00    0.2833601200E+04    0.9994489068E+03


% run    par  time              vx                  vy
 79      1    0.28138E+00   -0.3238594790E+04   -0.9583779201E+03


% run    par  time              vx                  vy
 80      1    0.28495E+00   -0.1587387255E+04    0.2537063289E+03


% run    par  time              vx                  vy
 81      1    0.28851E+00    0.1862486865E+03    0.1942876399E+04


% run    par  time              vx                  vy
 82      1    0.29207E+00    0.2296220668E+03    0.1117864499E+04


% run    par  time              vx                  vy
 83      1    0.29563E+00   -0.1595037395E+04   -0.1497227634E+04


% run    par  time              vx                  vy
 84      1    0.29919E+00    0.2977146268E+04   -0.3406744484E+04


% run    par  time              vx                  vy
 85      1    0.30276E+00    0.2536443738E+04    0.3193450080E+03


% run    par  time              vx                  vy
 86      1    0.30632E+00   -0.2244225450E+04   -0.1952268173E+04


% run    par  time              vx                  vy
