% run    par  time               x                   y
  1      1    0.35618E-02    0.1342633112E+02   -0.1073538603E+02


% run    par  time               x                   y
  2      1    0.71237E-02    0.1347547461E+02   -0.1071189349E+02


% run    par  time               x                   y
  3      1    0.10685E-01    0.1341846548E+02   -0.1082929898E+02


% run    par  time               x                   y
  4      1    0.14247E-01    0.1349391765E+02   -0.1094322141E+02


% run    par  time               x                   y
  5      1    0.17809E-01    0.1345489533E+02   -0.1088469365E+02


% run    par  time               x                   y
  6      1    0.21371E-01    0.1344163369E+02   -0.1080246247E+02


% run    par  time               x                   y
  7      1    0.24933E-01    0.1348978072E+02   -0.1089190340E+02


% run    par  time               x                   y
  8      1    0.28495E-01    0.1354778401E+02   -0.1102800777E+02


% run    par  time               x                   y
  9      1    0.32056E-01    0.1349941036E+02   -0.1116291356E+02


% run    par  time               x                   y
 10      1    0.35618E-01    0.1341379541E+02   -0.1115765652E+02


% run    par  time               x                   y
 11      1    0.39180E-01    0.1345134840E+02   -0.1122965109E+02


% run    par  time               x                   y
 12      1    0.42742E-01    0.1353332577E+02   -0.1124810035E+02


% run    par  time               x                   y
 13      1    0.46304E-01    0.1361806816E+02   -0.1116774719E+02


% run    par  time               x                   y
 14      1    0.49866E-01    0.1363600520E+02   -0.1126105647E+02


% run    par  time               x                   y
 15      1    0.53427E-01    0.1364128194E+02   -0.1127286700E+02


% run    par  time               x                   y
 16      1    0.56989E-01    0.1347387818E+02   -0.1128885979E+02


% run    par  time               x                   y
 17      1    0.60551E-01    0.1357005689E+02   -0.1125731230E+02


% run    par  time               x                   y
 18      1    0.64113E-01    0.1358046536E+02   -0.1128967742E+02


% run    par  time               x                   y
 19      1    0.67675E-01    0.1361131619E+02   -0.1123440132E+02


% run    par  time               x                   y
 20      1    0.71237E-01    0.1370538730E+02   -0.1135279942E+02


% run    par  time               x                   y
 21      1    0.74798E-01    0.1380673973E+02   -0.1138797534E+02


% run    par  time               x                   y
 22      1    0.78360E-01    0.1377555566E+02   -0.1147444652E+02


% run    par  time               x                   y
 23      1    0.81922E-01    0.1373609242E+02   -0.1157531868E+02


% run    par  time               x                   y
 24      1    0.85484E-01    0.1385405515E+02   -0.1150234912E+02


% run    par  time               x                   y
 25      1    0.89046E-01    0.1380045331E+02   -0.1145428388E+02


% run    par  time               x                   y
 26      1    0.92608E-01    0.1375038535E+02   -0.1140166808E+02


% run    par  time               x                   y
 27      1    0.96169E-01    0.1381702351E+02   -0.1145350420E+02


% run    par  time               x                   y
 28      1    0.99731E-01    0.1372852558E+02   -0.1151690551E+02


% run    par  time               x                   y
 29      1    0.10329E+00    0.1374096087E+02   -0.1134302909E+02


% run    par  time               x                   y
 30      1    0.10685E+00    0.1361626417E+02   -0.1134226593E+02


% run    par  time               x                   y
 31      1    0.11042E+00    0.1367561548E+02   -0.1138093756E+02


% run    par  time               x                   y
 32      1    0.11398E+00    0.1368092903E+02   -0.1118828511E+02


% run    par  time               x                   y
