% run    par  time               x                   y
 68      1    0.24220E+00    0.1404245101E+01   -0.7257626784E-01


% run    par  time               x                   y
 69      1    0.24577E+00    0.1312863744E+01   -0.2620469935E+00


% run    par  time               x                   y
 70      1    0.24933E+00    0.1435563397E+01   -0.2199870812E-02


% run    par  time               x                   y
 71      1    0.25289E+00    0.1323572343E+01    0.1985426177E+00


% run    par  time               x                   y
 72      1    0.25645E+00    0.1036997978E+01    0.4472983922E+00


% run    par  time               x                   y
 73      1    0.26001E+00    0.8261874786E+00    0.5076512577E+00


% run    par  time               x                   y
 74      1    0.26358E+00    0.6069641488E+00    0.6125120717E+00


% run    par  time               x                   y
 75      1    0.26714E+00    0.7816669713E+00    0.5641281056E+00


% run    par  time               x                   y
 76      1    0.27070E+00    0.5942409059E+00    0.4571879525E+00


% run    par  time               x                   y
 77      1    0.27426E+00    0.6319748497E+00    0.2799234702E+00


% run    par  time               x                   y
 78      1    0.27782E+00    0.3222000036E+00    0.4518447830E-01


% run    par  time               x                   y
 79      1    0.28138E+00   -0.1462892559E+00    0.8641618893E-01


% run    par  time               x                   y
 80      1    0.28495E+00   -0.4014765250E+00    0.3847260455E+00


% run    par  time               x                   y
 81      1    0.28851E+00   -0.6271302586E+00    0.5165951289E+00


% run    par  time               x                   y
 82      1    0.29207E+00   -0.8632592014E+00    0.4325807576E+00


% run    par  time               x                   y
 83      1    0.29563E+00   -0.1035472063E+01    0.5431513800E+00


% run    par  time               x                   y
 84      1    0.29919E+00   -0.1010499476E+01    0.2821945159E+00


% run    par  time               x                   y
 85      1    0.30276E+00   -0.7421642509E+00    0.1687555694E-01


% run    par  time               x                   y
 86      1    0.30632E+00   -0.3508642461E+00   -0.5076502946E-01


% run    par  time               x                   y
 87      1    0.30988E+00   -0.1676206277E+00    0.7276982295E-01


% run    par  time               x                   y
 88      1    0.31344E+00    0.1453160979E-01   -0.8538806008E-01


% run    par  time               x                   y
 89      1    0.31700E+00    0.3564827493E-01   -0.2397441249E+00


% run    par  time               x                   y
 90      1    0.32056E+00   -0.8480780108E-01    0.5199933158E-01


% run    par  time               x                   y
 91      1    0.32413E+00   -0.3277418720E+00   -0.6415115778E-01


% run    par  time               x                   y
 92      1    0.32769E+00   -0.3533606153E-01   -0.5498784221E-01


% run    par  time               x                   y
 93      1    0.33125E+00   -0.1575727059E+00   -0.3938753818E+00


% run    par  time               x                   y
 94      1    0.33481E+00   -0.7414726605E-01    0.8599381859E-01


% run    par  time               x                   y
 95      1    0.33837E+00   -0.2837398382E+00    0.1103106294E+00


% run    par  time               x                   y
 96      1    0.34194E+00   -0.5768998031E-01    0.8555920676E-01


% run    par  time               x                   y
 97      1    0.34550E+00   -0.8073461133E-01   -0.3008703038E-01


% run    par  time               x                   y
 98      1    0.34906E+00   -0.4664657194E+00   -0.7802483607E-01


% run    par  time               x                   y
 99      1    0.35262E+00   -0.6262984009E+00   -0.3601109239E+00


% run    par  time               x                   y
100      1    0.35618E+00   -0.5989690802E+00   -0.7166752701E+00


