% run    par  time              vx                  vy

% run    par  time              vx                  vy
 65      1    0.23152E+00   -0.7090058834E+03    0.4668954996E+04


% run    par  time              vx                  vy
 66      1    0.23508E+00   -0.2579945566E+04   -0.2457599989E+04


% run    par  time              vx                  vy
 67      1    0.23864E+00    0.4558761059E+04   -0.8184250262E+03


% run    par  time              vx                  vy
 68      1    0.24220E+00    0.2069193321E+04    0.4056524989E+03


% run    par  time              vx                  vy
 69      1    0.24577E+00    0.2476129199E+04   -0.2390646447E+04


% run    par  time              vx                  vy
 70      1    0.24933E+00    0.2953528642E+04   -0.6001057884E+03


% run    par  time              vx                  vy
 71      1    0.25289E+00    0.4783503470E+03    0.3561549749E+04


% run    par  time              vx                  vy
 72      1    0.25645E+00   -0.6761679635E+04   -0.1787594296E+04


% run    par  time              vx                  vy
 73      1    0.26001E+00   -0.2773012710E+04    0.1567562640E+04


% run    par  time              vx                  vy
 74      1    0.26358E+00   -0.1075862182E+04   -0.3493254347E+03


% run    par  time              vx                  vy
 75      1    0.26714E+00    0.2447530108E+04   -0.1960035350E+04


% run    par  time              vx                  vy
 76      1    0.27070E+00    0.5231729647E+04    0.1109464514E+04


% run    par  time              vx                  vy
 77      1    0.27426E+00   -0.2549098604E+03    0.4079964502E+04


% run    par  time              vx                  vy
 78      1    0.27782E+00   -0.1313093142E+04   -0.3941893996E+04


% run    par  time              vx                  vy
 79      1    0.28138E+00    0.1800903970E+04    0.1439462120E+04


% run    par  time              vx                  vy
 80      1    0.28495E+00   -0.9581200644E+03   -0.2439995954E+04


% run    par  time              vx                  vy
 81      1    0.28851E+00   -0.1691962419E+04    0.2870419824E+04


% run    par  time              vx                  vy
 82      1    0.29207E+00   -0.1234966461E+04    0.1825405315E+04


% run    par  time              vx                  vy
 83      1    0.29563E+00   -0.2675043334E+04    0.1355629140E+04


% run    par  time              vx                  vy
 84      1    0.29919E+00    0.2690610928E+04    0.2028456344E+04


% run    par  time              vx                  vy
 85      1    0.30276E+00    0.4287956187E+04   -0.1078794343E+04


% run    par  time              vx                  vy
 86      1    0.30632E+00    0.2992240969E+04   -0.7201425433E+03


% run    par  time              vx                  vy
 87      1    0.30988E+00    0.8988226035E+03   -0.5900804849E+03


% run    par  time              vx                  vy
 88      1    0.31344E+00   -0.4499255233E+04   -0.5706789194E+04


% run    par  time              vx                  vy
 89      1    0.31700E+00   -0.6475518636E+02   -0.2024963800E+04


% run    par  time              vx                  vy
 90      1    0.32056E+00    0.2305220986E+04   -0.9974259046E+03


% run    par  time              vx                  vy
 91      1    0.32413E+00   -0.2611658216E+04    0.1024850105E+04


% run    par  time              vx                  vy
 92      1    0.32769E+00    0.1970050756E+04    0.3167005290E+04


% run    par  time              vx                  vy
 93      1    0.33125E+00   -0.7997535571E+03   -0.1542286263E+04


% run    par  time              vx                  vy
 94      1    0.33481E+00   -0.1552701327E+04   -0.5732655118E+03


% run    par  time              vx                  vy
 95      1    0.33837E+00   -0.2460953691E+04    0.2320046347E+04


% run    par  time              vx                  vy
 96      1    0.34194E+00   -0.2948498839E+03    0.4742677389E+04


% run    par  time              vx                  vy
 97      1    0.34550E+00    0.3348755861E+04    0.2932820287E+04


% run    par  time              vx                  vy
 98      1    0.34906E+00    0.1619927744E+04   -0.2978403425E+03


% run    par  time              vx                  vy
 99      1    0.35262E+00    0.4630427185E+04    0.5464795600E+03


% run    par  time              vx                  vy
100      1    0.35618E+00    0.1831502336E+04   -0.7291881853E+04


