% run    par  time              vx                  vy
  1      1    0.35618E-02    0.5351144469E+03    0.1111312654E+04


% run    par  time              vx                  vy
  2      1    0.71237E-02    0.3366369686E+03    0.8908699730E+03


% run    par  time              vx                  vy
  3      1    0.10685E-01   -0.1248577405E+04    0.9774338410E+03


% run    par  time              vx                  vy
  4      1    0.14247E-01   -0.2669500137E+04   -0.1630062785E+04


% run    par  time              vx                  vy
  5      1    0.17809E-01    0.6739431164E+03    0.4119170967E+04


% run    par  time              vx                  vy
  6      1    0.21371E-01   -0.6086510518E+02    0.1349637147E+04


% run    par  time              vx                  vy
  7      1    0.24933E-01   -0.5580307681E+03    0.3755997434E+04


% run    par  time              vx                  vy
  8      1    0.28495E-01    0.1811931284E+04   -0.2459339621E+04


% run    par  time              vx                  vy
  9      1    0.32056E-01   -0.1623282741E+04    0.6168340880E+04


% run    par  time              vx                  vy
 10      1    0.35618E-01   -0.1505623704E+04   -0.1866083084E+04


% run    par  time              vx                  vy
 11      1    0.39180E-01    0.3932098915E+04    0.2132171546E+04


% run    par  time              vx                  vy
 12      1    0.42742E-01    0.4362242268E+04    0.2969374655E+03


% run    par  time              vx                  vy
 13      1    0.46304E-01   -0.1981421518E+04   -0.1115582772E+04


% run    par  time              vx                  vy
 14      1    0.49866E-01   -0.1406791650E+04   -0.8796595034E+03


% run    par  time              vx                  vy
 15      1    0.53427E-01   -0.1042722041E+03    0.1856075952E+04


% run    par  time              vx                  vy
 16      1    0.56989E-01    0.4455741522E+04    0.2823258848E+04


% run    par  time              vx                  vy
 17      1    0.60551E-01   -0.1943069851E+04    0.2358764066E+04


% run    par  time              vx                  vy
 18      1    0.64113E-01   -0.5246536156E+04    0.7456530465E+03


% run    par  time              vx                  vy
 19      1    0.67675E-01   -0.5500305166E+03    0.8353354481E+03


% run    par  time              vx                  vy
 20      1    0.71237E-01    0.3033283165E+04   -0.7291649154E+03


% run    par  time              vx                  vy
 21      1    0.74798E-01    0.3148032691E+04    0.9411424475E+03


% run    par  time              vx                  vy
 22      1    0.78360E-01    0.2442953481E+03   -0.2122703208E+04


% run    par  time              vx                  vy
 23      1    0.81922E-01    0.5812750824E+03    0.2552242001E+04


% run    par  time              vx                  vy
 24      1    0.85484E-01    0.3911869044E+04    0.1233206606E+04


% run    par  time              vx                  vy
 25      1    0.89046E-01    0.1153548251E+04   -0.2642832343E+04


% run    par  time              vx                  vy
 26      1    0.92608E-01   -0.2081145271E+03   -0.3168508924E+04


% run    par  time              vx                  vy
 27      1    0.96169E-01    0.8086982135E+03    0.2021234575E+04


% run    par  time              vx                  vy
