% itn    run  time               r                   g
  1      1    0.35618E-02    0.3359920014E+01    0.3616301666E+00
  1      1    0.35618E-02    0.3399448485E+01    0.3653428089E+00
  1      1    0.35618E-02    0.3438976955E+01    0.2904654376E+00
  1      1    0.35618E-02    0.3478505426E+01    0.2871458326E+00
  1      1    0.35618E-02    0.3518033897E+01    0.3376122936E+00
  1      1    0.35618E-02    0.3557562368E+01    0.3262528144E+00
  1      1    0.35618E-02    0.3597090838E+01    0.2851306236E+00
  1      1    0.35618E-02    0.3636619309E+01    0.4007573649E+00
  1      1    0.35618E-02    0.3676147780E+01    0.3230128431E+00
  1      1    0.35618E-02    0.3715676251E+01    0.3849223294E+00
  1      1    0.35618E-02    0.3755204721E+01    0.2443182760E+00
  1      1    0.35618E-02    0.3794733192E+01    0.3768611288E+00
  1      1    0.35618E-02    0.3834261663E+01    0.2814760997E+00
  1      1    0.35618E-02    0.3873790134E+01    0.2994833527E+00
  1      1    0.35618E-02    0.3913318604E+01    0.3240189975E+00
  1      1    0.35618E-02    0.3952847075E+01    0.2593399140E+00
  1      1    0.35618E-02    0.3992375546E+01    0.3310845118E+00
  1      1    0.35618E-02    0.4031904017E+01    0.3679641377E+00
  1      1    0.35618E-02    0.4071432487E+01    0.3179993400E+00
  1      1    0.35618E-02    0.4110960958E+01    0.4330244635E+00
  1      1    0.35618E-02    0.4150489429E+01    0.3184114204E+00
  1      1    0.35618E-02    0.4190017900E+01    0.3282664987E+00
  1      1    0.35618E-02    0.4229546370E+01    0.3315603447E+00
  1      1    0.35618E-02    0.4269074841E+01    0.2589907415E+00
  1      1    0.35618E-02    0.4308603312E+01    0.3191900057E+00
  1      1    0.35618E-02    0.4348131783E+01    0.3100735573E+00
  1      1    0.35618E-02    0.4387660253E+01    0.3195581602E+00
  1      1    0.35618E-02    0.4427188724E+01    0.3288726358E+00
  1      1    0.35618E-02    0.4466717195E+01    0.3319854220E+00
  1      1    0.35618E-02    0.4506245666E+01    0.2811971036E+00
  1      1    0.35618E-02    0.4545774136E+01    0.2609492400E+00
  1      1    0.35618E-02    0.4585302607E+01    0.3351210577E+00
  1      1    0.35618E-02    0.4624831078E+01    0.2856136776E+00
  1      1    0.35618E-02    0.4664359549E+01    0.4103262760E+00
  1      1    0.35618E-02    0.4703888020E+01    0.2636017735E+00
  1      1    0.35618E-02    0.4743416490E+01    0.3182210968E+00
  1      1    0.35618E-02    0.4782944961E+01    0.2761327256E+00
  1      1    0.35618E-02    0.4822473432E+01    0.3297498300E+00
  1      1    0.35618E-02    0.4862001903E+01    0.2937978596E+00
  1      1    0.35618E-02    0.4901530373E+01    0.2859204592E+00
  1      1    0.35618E-02    0.4941058844E+01    0.2563523796E+00
  1      1    0.35618E-02    0.4980587315E+01    0.3408832566E+00
  1      1    0.35618E-02    0.5020115786E+01    0.3006120243E+00
  1      1    0.35618E-02    0.5059644256E+01    0.2556465282E+00
  1      1    0.35618E-02    0.5099172727E+01    0.2906487158E+00
  1      1    0.35618E-02    0.5138701198E+01    0.2674294642E+00
  1      1    0.35618E-02    0.5178229669E+01    0.3070084624E+00
  1      1    0.35618E-02    0.5217758139E+01    0.3046737973E+00
  1      1    0.35618E-02    0.5257286610E+01    0.2767494256E+00
  1      1    0.35618E-02    0.5296815081E+01    0.2797629961E+00
  1      1    0.35618E-02    0.5336343552E+01    0.2928293178E+00
  1      1    0.35618E-02    0.5375872022E+01    0.2906682159E+00
  1      1    0.35618E-02    0.5415400493E+01    0.2586899392E+00
  1      1    0.35618E-02    0.5454928964E+01    0.2568085579E+00
  1      1    0.35618E-02    0.5494457435E+01    0.2451484081E+00
  1      1    0.35618E-02    0.5533985905E+01    0.2872014648E+00
  1      1    0.35618E-02    0.5573514376E+01    0.2319924010E+00
  1      1    0.35618E-02    0.5613042847E+01    0.2447499337E+00
  1      1    0.35618E-02    0.5652571318E+01    0.2525630723E+00
  1      1    0.35618E-02    0.5692099788E+01    0.2886601151E+00
  1      1    0.35618E-02    0.5731628259E+01    0.3101593908E+00
  1      1    0.35618E-02    0.5771156730E+01    0.2333543266E+00
  1      1    0.35618E-02    0.5810685201E+01    0.3151955915E+00
  1      1    0.35618E-02    0.5850213671E+01    0.2808320442E+00
  1      1    0.35618E-02    0.5889742142E+01    0.2743681174E+00
  1      1    0.35618E-02    0.5929270613E+01    0.3134128110E+00
  1      1    0.35618E-02    0.5968799084E+01    0.2436498265E+00
  1      1    0.35618E-02    0.6008327554E+01    0.3227221024E+00
  1      1    0.35618E-02    0.6047856025E+01    0.2760772958E+00
  1      1    0.35618E-02    0.6087384496E+01    0.2477356421E+00
  1      1    0.35618E-02    0.6126912967E+01    0.3120604364E+00
  1      1    0.35618E-02    0.6166441437E+01    0.2925858075E+00
  1      1    0.35618E-02    0.6205969908E+01    0.2690210071E+00
  1      1    0.35618E-02    0.6245498379E+01    0.2802474342E+00
  1      1    0.35618E-02    0.6285026850E+01    0.2956165000E+00
  1      1    0.35618E-02    0.6324555320E+01    0.2809907961E+00
  1      1    0.35618E-02    0.6364083791E+01    0.2538546133E+00
  1      1    0.35618E-02    0.6403612262E+01    0.3069440223E+00
  1      1    0.35618E-02    0.6443140733E+01    0.2632667612E+00
  1      1    0.35618E-02    0.6482669203E+01    0.2076639421E+00
  1      1    0.35618E-02    0.6522197674E+01    0.2559379186E+00
  1      1    0.35618E-02    0.6561726145E+01    0.2461852896E+00
  1      1    0.35618E-02    0.6601254616E+01    0.3058833741E+00
  1      1    0.35618E-02    0.6640783086E+01    0.2918949165E+00
  1      1    0.35618E-02    0.6680311557E+01    0.2337420964E+00
  1      1    0.35618E-02    0.6719840028E+01    0.2483881275E+00
  1      1    0.35618E-02    0.6759368499E+01    0.2628623576E+00
  1      1    0.35618E-02    0.6798896969E+01    0.2573700926E+00
  1      1    0.35618E-02    0.6838425440E+01    0.3188634686E+00
  1      1    0.35618E-02    0.6877953911E+01    0.2270060130E+00
  1      1    0.35618E-02    0.6917482382E+01    0.3191003405E+00
  1      1    0.35618E-02    0.6957010852E+01    0.2553734016E+00
  1      1    0.35618E-02    0.6996539323E+01    0.2924002429E+00
  1      1    0.35618E-02    0.7036067794E+01    0.2716244362E+00
  1      1    0.35618E-02    0.7075596265E+01    0.2320600926E+00
  1      1    0.35618E-02    0.7115124735E+01    0.1891535071E+00
  1      1    0.35618E-02    0.7154653206E+01    0.2746341253E+00
  1      1    0.35618E-02    0.7194181677E+01    0.2656382227E+00
  1      1    0.35618E-02    0.7233710148E+01    0.2679035535E+00
  1      1    0.35618E-02    0.7273238618E+01    0.2220363239E+00
  1      1    0.35618E-02    0.7312767089E+01    0.2539578062E+00
  1      1    0.35618E-02    0.7352295560E+01    0.2306245213E+00
  1      1    0.35618E-02    0.7391824031E+01    0.2548754763E+00
  1      1    0.35618E-02    0.7431352501E+01    0.2281645264E+00
  1      1    0.35618E-02    0.7470880972E+01    0.2845932422E+00
  1      1    0.35618E-02    0.7510409443E+01    0.2508405084E+00
  1      1    0.35618E-02    0.7549937914E+01    0.2495237603E+00
  1      1    0.35618E-02    0.7589466384E+01    0.2553127860E+00
  1      1    0.35618E-02    0.7628994855E+01    0.2645692560E+00
  1      1    0.35618E-02    0.7668523326E+01    0.1824867013E+00
  1      1    0.35618E-02    0.7708051797E+01    0.2758140162E+00
  1      1    0.35618E-02    0.7747580267E+01    0.2778766611E+00
  1      1    0.35618E-02    0.7787108738E+01    0.3213876917E+00
  1      1    0.35618E-02    0.7826637209E+01    0.2028587562E+00
  1      1    0.35618E-02    0.7866165680E+01    0.2942027898E+00
  1      1    0.35618E-02    0.7905694150E+01    0.2382670493E+00


% itn    run  time               r                   g
  1      2    0.71237E-02    0.3952847075E-01    0.0000000000E+00
  1      2    0.71237E-02    0.7905694150E-01    0.0000000000E+00
  1      2    0.71237E-02    0.1185854123E+00    0.0000000000E+00
  1      2    0.71237E-02    0.1581138830E+00    0.0000000000E+00
  1      2    0.71237E-02    0.1976423538E+00    0.0000000000E+00
  1      2    0.71237E-02    0.2371708245E+00    0.0000000000E+00
  1      2    0.71237E-02    0.2766992953E+00    0.1044709370E+00
  1      2    0.71237E-02    0.3162277660E+00    0.1810829575E+00
  1      2    0.71237E-02    0.3557562368E+00    0.7988954006E-01
  1      2    0.71237E-02    0.3952847075E+00    0.1429602296E+00
  1      2    0.71237E-02    0.4348131783E+00    0.0000000000E+00
  1      2    0.71237E-02    0.4743416490E+00    0.4723903238E+00
  1      2    0.71237E-02    0.5138701198E+00    0.1629746617E+00
  1      2    0.71237E-02    0.5533985905E+00    0.4527073937E+00
  1      2    0.71237E-02    0.5929270613E+00    0.1030299586E+01
  1      2    0.71237E-02    0.6324555320E+00    0.7447766799E+00
  1      2    0.71237E-02    0.6719840028E+00    0.6996386993E+00
  1      2    0.71237E-02    0.7115124735E+00    0.9700872722E+00
  1      2    0.71237E-02    0.7510409443E+00    0.6240020832E+00
  1      2    0.71237E-02    0.7905694150E+00    0.8357674960E+00
  1      2    0.71237E-02    0.8300978858E+00    0.9606230061E+00
  1      2    0.71237E-02    0.8696263565E+00    0.7580216824E+00
  1      2    0.71237E-02    0.9091548273E+00    0.1116678238E+01
  1      2    0.71237E-02    0.9486832981E+00    0.9824713650E+00
  1      2    0.71237E-02    0.9882117688E+00    0.8592201554E+00
  1      2    0.71237E-02    0.1027740240E+01    0.1038564021E+01
  1      2    0.71237E-02    0.1067268710E+01    0.8199982980E+00
  1      2    0.71237E-02    0.1106797181E+01    0.6914076558E+00
  1      2    0.71237E-02    0.1146325652E+01    0.6194943282E+00
  1      2    0.71237E-02    0.1185854123E+01    0.8286847206E+00
  1      2    0.71237E-02    0.1225382593E+01    0.8015147298E+00
  1      2    0.71237E-02    0.1264911064E+01    0.8191848076E+00
  1      2    0.71237E-02    0.1304439535E+01    0.6059314346E+00
  1      2    0.71237E-02    0.1343968006E+01    0.4662210472E+00
  1      2    0.71237E-02    0.1383496476E+01    0.7085854858E+00
  1      2    0.71237E-02    0.1423024947E+01    0.4590835542E+00
  1      2    0.71237E-02    0.1462553418E+01    0.7999897779E+00
  1      2    0.71237E-02    0.1502081889E+01    0.5251405767E+00
  1      2    0.71237E-02    0.1541610359E+01    0.6702421153E+00
