% run    par  time              vx                  vy
% run    par  time              vx                  vy
 65      1    0.23152E+00    0.3366507380E+04    0.2054900161E+04


% run    par  time              vx                  vy
 66      1    0.23508E+00    0.3463339758E+04   -0.2699634485E+04


% run    par  time              vx                  vy
 67      1    0.23864E+00    0.2899564096E+04    0.1528078472E+04


% run    par  time              vx                  vy
 68      1    0.24220E+00    0.1426455364E+04    0.2284079792E+04


% run    par  time              vx                  vy
 69      1    0.24577E+00   -0.3634953513E+04   -0.3280603895E+04


% run    par  time              vx                  vy
 70      1    0.24933E+00    0.1617593472E+03    0.1923830143E+04


% run    par  time              vx                  vy
 71      1    0.25289E+00    0.5765940675E+03    0.6514709221E+04


% run    par  time              vx                  vy
 72      1    0.25645E+00    0.1468069561E+04   -0.5173104608E+02


% run    par  time              vx                  vy
 73      1    0.26001E+00    0.1264159092E+04    0.1865852127E+04


% run    par  time              vx                  vy
 74      1    0.26358E+00   -0.1134695612E+04    0.2652978857E+04


% run    par  time              vx                  vy
 75      1    0.26714E+00   -0.7007792555E+03    0.3386017187E+04


% run    par  time              vx                  vy
 76      1    0.27070E+00    0.5592692841E+03    0.1221918211E+04


% run    par  time              vx                  vy
 77      1    0.27426E+00   -0.2235489454E+04   -0.1030288799E+04


% run    par  time              vx                  vy
 78      1    0.27782E+00   -0.3363721627E+03   -0.1096247670E+04


% run    par  time              vx                  vy
 79      1    0.28138E+00    0.2479283220E+04   -0.3720672962E+03


% run    par  time              vx                  vy
 80      1    0.28495E+00   -0.2140088405E+04    0.2326607532E+04


% run    par  time              vx                  vy
 81      1    0.28851E+00    0.2058910538E+04    0.4393993407E+03


% run    par  time              vx                  vy
 82      1    0.29207E+00   -0.2491568585E+04    0.1826434923E+04


% run    par  time              vx                  vy
 83      1    0.29563E+00    0.3809523426E+04   -0.4974001182E+04


% run    par  time              vx                  vy
 84      1    0.29919E+00   -0.1828682339E+04   -0.1137747038E+04


% run    par  time              vx                  vy
 85      1    0.30276E+00    0.1113636664E+03   -0.1788078010E+04


% run    par  time              vx                  vy
 86      1    0.30632E+00    0.1414431718E+04    0.8763397582E+03


% run    par  time              vx                  vy
 87      1    0.30988E+00   -0.2504421735E+04    0.8176366844E+03


% run    par  time              vx                  vy
 88      1    0.31344E+00   -0.1993861467E+04    0.1069579028E+04


% run    par  time              vx                  vy
 89      1    0.31700E+00    0.1571480497E+02    0.2502001724E+04


% run    par  time              vx                  vy
 90      1    0.32056E+00   -0.1227326020E+04    0.1380250574E+04


% run    par  time              vx                  vy
 91      1    0.32413E+00    0.2981960585E+04    0.1532404098E+04


% run    par  time              vx                  vy
 92      1    0.32769E+00    0.1646266243E+04    0.3637678391E+03


% run    par  time              vx                  vy
 93      1    0.33125E+00    0.6030241545E+03    0.3911778302E+04


% run    par  time              vx                  vy
 94      1    0.33481E+00   -0.3677578072E+03    0.2171719031E+04


% run    par  time              vx                  vy
 95      1    0.33837E+00    0.1037922555E+04    0.6566529584E+03


% run    par  time              vx                  vy
 96      1    0.34194E+00   -0.2957132234E+04    0.4695700148E+04


% run    par  time              vx                  vy
 97      1    0.34550E+00   -0.2907734848E+04    0.2686614389E+04


% run    par  time              vx                  vy
 98      1    0.34906E+00   -0.2351160606E+04    0.5949200681E+03


% run    par  time              vx                  vy
 99      1    0.35262E+00    0.3055568254E+04   -0.1839699789E+04


% run    par  time              vx                  vy
100      1    0.35618E+00   -0.3000473446E+03    0.3835911353E+04


