% run    par  time               x                   y
 68      1    0.24220E+00    0.7680665054E+00    0.8877777629E-01


% run    par  time               x                   y
 69      1    0.24577E+00    0.8460280238E+00    0.3261311365E+00


% run    par  time               x                   y
 70      1    0.24933E+00    0.8451234527E+00    0.3724433800E+00


% run    par  time               x                   y
 71      1    0.25289E+00    0.9508236039E+00    0.4197409604E+00


% run    par  time               x                   y
 72      1    0.25645E+00    0.1106661434E+01    0.4278445371E+00


% run    par  time               x                   y
 73      1    0.26001E+00    0.1148529517E+01    0.3304827188E+00


% run    par  time               x                   y
 74      1    0.26358E+00    0.1188091036E+01    0.3853391679E+00


% run    par  time               x                   y
 75      1    0.26714E+00    0.1164576150E+01    0.4190476697E+00


% run    par  time               x                   y
 76      1    0.27070E+00    0.1138809341E+01    0.4378972038E+00


% run    par  time               x                   y
 77      1    0.27426E+00    0.1016099362E+01    0.3290467569E+00


% run    par  time               x                   y
 78      1    0.27782E+00    0.9945391804E+00    0.3698071118E+00


% run    par  time               x                   y
 79      1    0.28138E+00    0.1046877381E+01    0.4610743391E+00


% run    par  time               x                   y
 80      1    0.28495E+00    0.9381876359E+00    0.4505592696E+00


% run    par  time               x                   y
 81      1    0.28851E+00    0.8355156539E+00    0.5115184588E+00


% run    par  time               x                   y
 82      1    0.29207E+00    0.7850203413E+00    0.6163164759E+00


% run    par  time               x                   y
 83      1    0.29563E+00    0.7190387603E+00    0.7068929256E+00


% run    par  time               x                   y
 84      1    0.29919E+00    0.7253575111E+00    0.8445712195E+00


% run    par  time               x                   y
 85      1    0.30276E+00    0.7285426331E+00    0.9557961853E+00


% run    par  time               x                   y
 86      1    0.30632E+00    0.6692878958E+00    0.1233039869E+01


% run    par  time               x                   y
 87      1    0.30988E+00    0.4971544817E+00    0.1140224198E+01


% run    par  time               x                   y
 88      1    0.31344E+00    0.4710843457E+00    0.1129262532E+01


% run    par  time               x                   y
 89      1    0.31700E+00    0.5079577956E+00    0.1147692671E+01


% run    par  time               x                   y
